,Produto,Tipo Contrato,Data/Hora,MWm,MWh,Preço (R$),Cancelado
4230,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 14:44:20,5.0,3600.0,295.0,Não
4231,SE CON MEN DEZ/19 - Preço Fixo,Boleta,06/11/2019 14:31:40,5.0,3720.0,214.0,Não
4232,SE CON MEN JAN/20 - Preço Fixo,Balcão,06/11/2019 14:23:00,3.0,2232.0,206.0,Não
4233,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:18:05,2.0,1488.0,214.0,Não
4234,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:16:11,0.5,372.0,213.0,Não
4235,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:15:56,1.0,744.0,214.0,Não
4236,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:15:56,1.0,744.0,214.0,Não
4237,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:15:56,1.0,744.0,213.0,Não
4238,SE CON MEN NOV/19 - Preço Fixo,Balcão,06/11/2019 14:15:08,3.0,2160.0,295.0,Não
4239,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:10:30,1.0,744.0,211.5,Não
4240,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:10:30,1.0,744.0,211.0,Não
4241,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:06:56,1.0,744.0,210.0,Não
4242,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:03:41,1.0,744.0,210.0,Não
4243,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 14:03:41,2.0,1488.0,209.99,Não
4244,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 14:00:58,2.0,1440.0,295.0,Não
4245,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 13:44:12,5.0,3600.0,294.8,Não
4246,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 13:37:24,1.0,720.0,295.0,Não
4247,SE CON MEN NOV/19 - Preço Fixo,Balcão,06/11/2019 13:31:28,1.0,720.0,295.0,Não
4248,SE CON MEN JAN/20 - Preço Fixo,Boleta,06/11/2019 12:10:39,5.0,3720.0,204.0,Não
4249,SE CON MEN JAN/20 - Preço Fixo,Boleta,06/11/2019 11:49:35,2.0,1488.0,204.0,Não
4250,SE CON MEN NOV/19 - Preço Fixo,Boleta,06/11/2019 11:48:32,2.0,1440.0,295.0,Não
4251,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 11:45:51,1.0,744.0,209.0,Não
4252,SE CON MEN DEZ/19 - Preço Fixo,Balcão,06/11/2019 11:28:34,2.0,1488.0,208.0,Não
